VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK
5,243-1,Amager Strand Apotek,7,Strandlodsvej 41,2300,"21Sep2015 0:00:00,000",,1084,101,1084,"Strandlodsvej 41, 2300 Denmark",55.664181,12.622773,2015-09-21,,2015,2025,2015,POINT (12.622773 55.664181),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
9,090-1,Apotek Fisketorvet,7,"Fisketorvet, Kalvebod Brygge 59",1561,"01Aug2015 0:00:00,000",,1084,101,1084,"Fisketorvet, Kalvebod Brygge 59, 1561 Denmark",55.6759,12.5655,2015-08-01,,2015,2025,2015,POINT (12.5655 55.6759),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
10,090-3,Apotek Humletorvet,7,Humletorvet 23,1799,"01Nov2016 0:00:00,000",,1084,101,1084,"Humletorvet 23, 1799 Denmark",55.664466,12.536175,2016-11-01,,2016,2025,2016,POINT (12.536175 55.664466),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
12,090-2,Apotek Spinderiet,7,Valby Torvegade 13,2500,"02May2016 0:00:00,000",,1084,101,1084,"Valby Torvegade 13, 2500 Denmark",55.6647453,12.5116682,2016-05-02,,2016,2025,2016,POINT (12.5116682 55.6647453),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
95,341-4,Brønshøj Apotek,7,Højenhald 2,2700,"29Apr2016 0:00:00,000",,1084,101,1084,"Højenhald 2, 2700 Denmark",55.705346,12.507615,2016-04-29,,2016,2025,2016,POINT (12.507615 55.705346),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
137,029-2,Fields Apotek,7,Arne Jacobsens Allé 12,2300,"20Jul2015 0:00:00,000",,1084,101,1084,"Arne Jacobsens Allé 12, 2300 Denmark",55.6305777,12.5767812,2015-07-20,,2015,2025,2015,POINT (12.5767812 55.6305777),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
188,323-2,Gyldenrisparkens Apot,7,Amagerbrogade 264,2300,"01Sep2015 0:00:00,000",,1084,101,1084,"Amagerbrogade 264, 2300 Denmark",55.642544,12.615792,2015-09-01,,2015,2025,2015,POINT (12.615792 55.642544),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
348,243,København Amagerbro,6,Reberbanegade 3,2300,"01Jan1913 0:00:00,000",,1084,101,1084,"Reberbanegade 3, 2300 Denmark",55.662829,12.603788,1913-01-01,,1913,2025,2008,POINT (12.603788 55.662829),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
349,341,København Apoteket R,6,Tuborgvej 269,2400,"01Jan1935 0:00:00,000",,1084,101,1084,"Tuborgvej 269, 2400 Denmark",55.71175,12.53244,1935-01-01,,1935,2025,2008,POINT (12.53244 55.71175),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
352,242,København Apoteket S,6,Nørrebrogade 224,2200,"01Jan1913 0:00:00,000",,1084,101,1084,"Nørrebrogade 224, 2200 Denmark",55.700139,12.540203,1913-01-01,,1913,2025,2008,POINT (12.540203 55.700139),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
353,232,København Apoteket T,6,Ndr. Frihavnsgade 3,2100,"01Jan1909 0:00:00,000",,1084,101,1084,"Ndr. Frihavnsgade 3, 2100 Denmark",55.700024,12.578069,1909-01-01,,1909,2025,2008,POINT (12.578069 55.700024),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
358,029,København Christians,6,Torvegade 47,1400,01-01-1753 00:00,,1084,101,1084,"Torvegade 47, 1400 Denmark",55.672344,12.591926,1753-01-01,,1753,2025,2008,POINT (12.591926 55.672344),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
361,309,København Enghave Ap,13,Enghave Plads 25,1670,"01Jan1922 0:00:00,000",,1084,101,1084,"Enghave Plads 25, 1670 Denmark",55.666133,12.544116,1922-01-01,,1922,2025,2008,POINT (12.544116 55.666133),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
367,334,København Grøndalsa,13,Godthåbsvej 187A,2720,"01Jan1935 0:00:00,000",,1084,101,1084,"Godthåbsvej 187A, 2720 Denmark",55.6908748,12.5159263,1935-01-01,,1935,2025,2008,POINT (12.5159263 55.6908748),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
371,341-2,København Hamlets Ap,7,Hamletsgade 2,2200,"01Jun2009 0:00:00,000",,1084,101,1084,"Hamletsgade 2, 2200 Denmark",55.703088,12.547708,2009-06-01,,2009,2025,2009,POINT (12.547708 55.703088),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
374,322,København Husum Apot,6,Frederikssundsvej 320,2700,"01Jan1929 0:00:00,000",,1084,101,1084,"Frederikssundsvej 320, 2700 Denmark",55.711998,12.47255,1929-01-01,,1929,2025,2008,POINT (12.47255 55.711998),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
375,029-1,København Islands Br,7,Islands Brygge 3-5,2300,"01Feb2003 0:00:00,000",,1084,101,1084,"Islands Brygge 3-5, 2300 Denmark",55.6695424,12.5797902,2003-02-01,,2003,2025,2008,POINT (12.5797902 55.6695424),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
379,021,København Kongelig H,6,Store Kongensgade 45,1264,01-01-1753 00:00,,1084,101,1084,"Store Kongensgade 45, 1264 Denmark",55.683269,12.586637,1753-01-01,,1753,2025,2008,POINT (12.586637 55.683269),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
382,338,København Linde Apot,6,Frederikssundsvej 152,2700,"01Jan1937 0:00:00,000",,1084,101,1084,"Frederikssundsvej 152, 2700 Denmark",55.704659,12.500087,1937-01-01,,1937,2025,2008,POINT (12.500087 55.704659),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
384,090,København Nørrebro,6,Nørrebrogade 8,2200,01-01-1843 00:00,,1084,101,1084,"Nørrebrogade 8, 2200 Denmark",55.687462,12.56233,1843-01-01,,1843,2025,2008,POINT (12.56233 55.687462),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
389,134,København Sct. Stefa,13,Nørrebrogade 140,2200,01-01-1881 00:00,,1084,101,1084,"Nørrebrogade 140, 2200 Denmark",55.694695,12.548836,1881-01-01,,1881,2025,2008,POINT (12.548836 55.694695),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
392,183,København Steno Apot,6,Vesterbrogade 6 C,1620,"01Jan1900 0:00:00,000",,1084,101,1084,"Vesterbrogade 6 C, 1620 Denmark",55.6726557,12.550866,1900-01-01,,1900,2025,2008,POINT (12.550866 55.6726557),2016,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045
