VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,samlet_ind
325,243,København Amagerbro,6,Reberbanegade 3,2300,"01Jan1913 0:00:00,000",,1084,101,1084,"Reberbanegade 3, 2300 Denmark",55.662829,12.603788,1913-01-01,,1913,2025,2008,POINT (12.603788 55.662829),2010,37037942.12,12257371.801,35.67,182189.30856
326,341,København Apoteket R,6,Tuborgvej 269,2400,"01Jan1935 0:00:00,000",,1084,101,1084,"Tuborgvej 269, 2400 Denmark",55.71175,12.53244,1935-01-01,,1935,2025,2008,POINT (12.53244 55.71175),2010,37037942.12,12257371.801,35.67,182189.30856
329,242,København Apoteket S,6,Nørrebrogade 224,2200,"01Jan1913 0:00:00,000",,1084,101,1084,"Nørrebrogade 224, 2200 Denmark",55.700139,12.540203,1913-01-01,,1913,2025,2008,POINT (12.540203 55.700139),2010,37037942.12,12257371.801,35.67,182189.30856
330,232,København Apoteket T,6,Ndr. Frihavnsgade 3,2100,"01Jan1909 0:00:00,000",,1084,101,1084,"Ndr. Frihavnsgade 3, 2100 Denmark",55.700024,12.578069,1909-01-01,,1909,2025,2008,POINT (12.578069 55.700024),2010,37037942.12,12257371.801,35.67,182189.30856
332,029,København Christians,6,Torvegade 47,1400,01-01-1753 00:00,,1084,101,1084,"Torvegade 47, 1400 Denmark",55.672344,12.591926,1753-01-01,,1753,2025,2008,POINT (12.591926 55.672344),2010,37037942.12,12257371.801,35.67,182189.30856
335,309,København Enghave Ap,13,Enghave Plads 25,1670,"01Jan1922 0:00:00,000",,1084,101,1084,"Enghave Plads 25, 1670 Denmark",55.666133,12.544116,1922-01-01,,1922,2025,2008,POINT (12.544116 55.66613299999999),2010,37037942.12,12257371.801,35.67,182189.30856
336,334,København Grøndalsa,13,Godthåbsvej 187A,2720,"01Jan1935 0:00:00,000",,1084,101,1084,"Godthåbsvej 187A, 2720 Denmark",55.6908748,12.5159263,1935-01-01,,1935,2025,2008,POINT (12.5159263 55.6908748),2010,37037942.12,12257371.801,35.67,182189.30856
338,341-2,København Hamlets Ap,7,Hamletsgade 2,2200,"01Jun2009 0:00:00,000",,1084,101,1084,"Hamletsgade 2, 2200 Denmark",55.703088,12.547708,2009-06-01,,2009,2025,2009,POINT (12.547708 55.703088),2010,37037942.12,12257371.801,35.67,182189.30856
340,322,København Husum Apot,6,Frederikssundsvej 320,2700,"01Jan1929 0:00:00,000",,1084,101,1084,"Frederikssundsvej 320, 2700 Denmark",55.711998,12.47255,1929-01-01,,1929,2025,2008,POINT (12.47255 55.711998),2010,37037942.12,12257371.801,35.67,182189.30856
341,029-1,København Islands Br,7,Islands Brygge 3-5,2300,"01Feb2003 0:00:00,000",,1084,101,1084,"Islands Brygge 3-5, 2300 Denmark",55.6672418,12.5773125,2003-02-01,,2003,2025,2008,POINT (12.5773125 55.66724179999999,2010,37037942.12,12257371.801,35.67,182189.30856
