VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,samlet_ind
325,243,København Amagerbro,6,Reberbanegade 3,2300,"01Jan1913 0:00:00,000",,1084,101,1084,"Reberbanegade 3, 2300 Denmark",55.662829,12.603788,1913-01-01,,1913,2025,2008,POINT (12.603788 55.662829),2017,20109048.332,6854904.8545,35.39,216421.85145
326,341,København Apoteket R,6,Tuborgvej 269,2400,"01Jan1935 0:00:00,000",,1084,101,1084,"Tuborgvej 269, 2400 Denmark",55.71175,12.53244,1935-01-01,,1935,2025,2008,POINT (12.53244 55.71175),2017,20109048.332,6854904.8545,35.39,216421.85145
329,242,København Apoteket S,6,Nørrebrogade 224,2200,"01Jan1913 0:00:00,000",,1084,101,1084,"Nørrebrogade 224, 2200 Denmark",55.700139,12.540203,1913-01-01,,1913,2025,2008,POINT (12.540203 55.700139),2017,20109048.332,6854904.8545,35.39,216421.85145
330,232,København Apoteket T,6,Ndr. Frihavnsgade 3,2100,"01Jan1909 0:00:00,000",,1084,101,1084,"Ndr. Frihavnsgade 3, 2100 Denmark",55.700024,12.578069,1909-01-01,,1909,2025,2008,POINT (12.578069 55.700024),2017,20109048.332,6854904.8545,35.39,216421.85145
332,029,København Christians,6,Torvegade 47,1400,01-01-1753 00:00,,1084,101,1084,"Torvegade 47, 1400 Denmark",55.672344,12.591926,1753-01-01,,1753,2025,2008,POINT (12.591926 55.672344),2017,20109048.332,6854904.8545,35.39,216421.85145
335,309,København Enghave Ap,13,Enghave Plads 25,1670,"01Jan1922 0:00:00,000",,1084,101,1084,"Enghave Plads 25, 1670 Denmark",55.666133,12.544116,1922-01-01,,1922,2025,2008,POINT (12.544116 55.66613299999999),2017,20109048.332,6854904.8545,35.39,216421.85145
336,334,København Grøndalsa,13,Godthåbsvej 187A,2720,"01Jan1935 0:00:00,000",,1084,101,1084,"Godthåbsvej 187A, 2720 Denmark",55.6908748,12.5159263,1935-01-01,,1935,2025,2008,POINT (12.5159263 55.6908748),2017,20109048.332,6854904.8545,35.39,216421.85145
338,341-2,København Hamlets Ap,7,Hamletsgade 2,2200,"01Jun2009 0:00:00,000",,1084,101,1084,"Hamletsgade 2, 2200 Denmark",55.703088,12.547708,2009-06-01,,2009,2025,2009,POINT (12.547708 55.703088),2017,20109048.332,6854904.8545,35.39,216421.85145
340,322,København Husum Apot,6,Frederikssundsvej 320,2700,"01Jan1929 0:00:00,000",,1084,101,1084,"Frederikssundsvej 320, 2700 Denmark",55.711998,12.47255,1929-01-01,,1929,2025,2008,POINT (12.47255 55.711998),2017,20109048.332,6854904.8545,35.39,216421.85145
341,029-1,København Islands Br,7,Islands Brygge 3-5,2300,"01Feb2003 0:00:00,000",,1084,101,1084,"Islands Brygge 3-5, 2300 Denmark",55.6672418,12.5773125,2003-02-01,,2003,2025,2008,POINT (12.5773125 55.66724179999999,2017,20109048.332,6854904.8545,35.39,216421.85145
342,021,København Kongelig H,6,Store Kongensgade 45,1264,01-01-1753 00:00,,1084,101,1084,"Store Kongensgade 45, 1264 Denmark",55.683269,12.586637,1753-01-01,,1753,2025,2008,POINT (12.586637 55.683269),2017,20109048.332,6854904.8545,35.39,216421.85145
343,338,København Linde Apot,6,Frederikssundsvej 152,2700,"01Jan1937 0:00:00,000",,1084,101,1084,"Frederikssundsvej 152, 2700 Denmark",55.704659,12.500087,1937-01-01,,1937,2025,2008,POINT (12.500087 55.704659),2017,20109048.332,6854904.8545,35.39,216421.85145
344,090,København Nørrebro,6,Nørrebrogade 8,2200,01-01-1843 00:00,,1084,101,1084,"Nørrebrogade 8, 2200 Denmark",55.687462,12.56233,1843-01-01,,1843,2025,2008,POINT (12.56233 55.687462),2017,20109048.332,6854904.8545,35.39,216421.85145
346,134,København Sct. Stefa,13,Nørrebrogade 140,2200,01-01-1881 00:00,,1084,101,1084,"Nørrebrogade 140, 2200 Denmark",55.694695,12.548836,1881-01-01,,1881,2025,2008,POINT (12.548836 55.694695),2017,20109048.332,6854904.8545,35.39,216421.85145
347,183,København Steno Apot,6,Vesterbrogade 6 C,1620,"01Jan1900 0:00:00,000",,1084,101,1084,"Vesterbrogade 6 C, 1620 Denmark",55.6726625,12.5501706,1900-01-01,,1900,2025,2008,POINT (12.5501706 55.6726625),2017,20109048.332,6854904.8545,35.39,216421.85145
348,332,København Sydhavnsap,13,Borgbjergsvej 15,2450,"01Jan1933 0:00:00,000",,1084,101,1084,"Borgbjergsvej 15, 2450 Denmark",55.651462,12.537598,1933-01-01,,1933,2025,2008,POINT (12.537598 55.651462),2017,20109048.332,6854904.8545,35.39,216421.85145
349,199,København Sønderbro,6,Amagerbrogade 158,2300,"01Jan1902 0:00:00,000",,1084,101,1084,"Amagerbrogade 158, 2300 Denmark",55.654731,12.610199,1902-01-01,,1902,2025,2008,POINT (12.610199 55.65473100000001),2017,20109048.332,6854904.8545,35.39,216421.85145
350,318,København Trekroner,6,Vigerslev Allé 38,2500,"01Jan1925 0:00:00,000",,1084,101,1084,"Vigerslev Allé 38, 2500 Denmark",55.661884,12.518641,1925-01-01,,1925,2025,2008,POINT (12.518641 55.66188399999999),2017,20109048.332,6854904.8545,35.39,216421.85145
351,031,København Vaisenhus,13,Landemærket 3-5,1119,01-01-1753 00:00,,1084,101,1084,"Landemærket 3-5, 1119 Denmark",55.6827864,12.5776629,1753-01-01,,1753,2025,2008,POINT (12.5776629 55.6827864),2017,20109048.332,6854904.8545,35.39,216421.85145
352,197,København Valby Apot,6,Valby Langgade 49,2500,"01Jan1902 0:00:00,000",,1084,101,1084,"Valby Langgade 49, 2500 Denmark",55.666526,12.516945,1902-01-01,,1902,2025,2008,POINT (12.516945 55.666526),2017,20109048.332,6854904.8545,35.39,216421.85145
353,202,København Øresunds,6,Østerbrogade 151,2100,"01Jan1902 0:00:00,000",,1084,101,1084,"Østerbrogade 151, 2100 Denmark",55.714092,12.577286,1902-01-01,,1902,2025,2008,POINT (12.577286 55.714092),2017,20109048.332,6854904.8545,35.39,216421.85145
354,320,København Østerbro,13,Østerbrogade 101,2100,"01Jan1929 0:00:00,000",,1084,101,1084,"Østerbrogade 101, 2100 Denmark",55.709432,12.577196,1929-01-01,,1929,2025,2008,POINT (12.577196 55.70943199999999),2017,20109048.332,6854904.8545,35.39,216421.85145
635,343,Vanløse Løve Apotek,6,"Vanløse Torv 1, st. 123",2720,"01Jan1937 0:00:00,000",,1084,101,1084,"Vanløse Torv 1, st. 123, 2720 Denmark",55.708988,12.583695,1937-01-01,,1937,2025,2008,POINT (12.583695 55.708988),2017,20109048.332,6854904.8545,35.39,216421.85145
15,090-5,Apotek Ørsted,7,H.C. Ørsteds Vej 38,1879,"01Aug2017 0:00:00,000",,1084,147,1084,"H.C. Ørsteds Vej 38, 1879 Denmark",55.68005,12.548711,2017-08-01,,2017,2025,2017,POINT (12.548711 55.68005),2017,18076111.406,6091696.2525,39.10,245504.64495
19,111-1,Apoteket Frederiksber,7,Falkoner Alle 21,2000,"01Dec2017 0:00:00,000",,1084,147,1084,"Falkoner Alle 21, 2000 Denmark",55.681463,12.534059,2017-12-01,,2017,2025,2017,POINT (12.534059 55.681463),2017,18076111.406,6091696.2525,39.10,245504.64495
29,327-1,Apoteket Lille Bjørn,7,"Nordens Plads 4A, stuen",2000,"04Jan2016 0:00:00,000",,1084,147,1084,"Nordens Plads 4A, stuen, 2000 Denmark",55.671326,12.500626,2016-01-04,,2016,2025,2016,POINT (12.500626 55.671326),2017,18076111.406,6091696.2525,39.10,245504.64495
143,111,Frederiksberg Apotek,6,Gammel Kongevej 162,1850,01-01-1867 00:00,,1084,147,1084,"Gammel Kongevej 162, 1850 Denmark",55.6759585,12.5433837,1867-01-01,,1867,2025,2008,POINT (12.5433837 55.67595849999999,2017,18076111.406,6091696.2525,39.10,245504.64495
145,184,Frederiksberg Apoteke,6,Godthåbsvej 4,2000,"12Nov1901 0:00:00,000",,1084,147,1084,"Godthåbsvej 4, 2000 Denmark",55.685538,12.538161,1901-11-12,,1901,2025,2008,POINT (12.538161 55.685538),2017,18076111.406,6091696.2525,39.10,245504.64495
146,327,Frederiksberg Dalgas,6,Dalgas Boulevard 91,2000,01.03.1994,,1084,147,1084,"Dalgas Boulevard 91, 2000 Denmark",55.681633,12.510563,1994-01-03,,1994,2025,2008,POINT (12.510563 55.681633),2017,18076111.406,6091696.2525,39.10,245504.64495
148,262,Frederiksberg Gl. Kon,13,Gammel Kongevej 76,1850,"01Jan1916 0:00:00,000",,1084,147,1084,"Gammel Kongevej 76, 1850 Denmark",55.674336,12.551359,1916-01-01,,1916,2025,2008,POINT (12.551359 55.674336),2017,18076111.406,6091696.2525,39.10,245504.64495
150,185,Frederiksberg Smalleg,6,Smallegade 46,2000,"01Jan1900 0:00:00,000",,1084,147,1084,"Smallegade 46, 2000 Denmark",55.679679,12.523739,1900-01-01,,1900,2025,2008,POINT (12.523739 55.67967900000001),2017,18076111.406,6091696.2525,39.10,245504.64495
26,225-2,Apoteket i Ballerup C,7,"Ballerup-Centret 2, 1. 3",2750,"26Oct2015 0:00:00,000",,1084,151,1084,"Ballerup-Centret 2, 1. 3, 2750 Denmark",55.7316,12.3633,2015-10-26,,2015,2025,2015,POINT (12.3633 55.7316),2017,16162623.3,5471685.054,41.69,193840.07964
58,225,Ballerup Apotek,6,Centrumgaden 24-26,2750,"01Jan1907 0:00:00,000",,1084,151,1084,"Centrumgaden 24-26, 2750 Denmark",55.7281229,12.3598013,1907-01-01,,1907,2025,2008,POINT (12.3598013 55.7281229),2017,16162623.3,5471685.054,41.69,193840.07964
205,225-3,Hedegårdens Apotek,7,Hedeparken 9,2750,"20Jun2016 0:00:00,000",,1084,151,1084,"Hedeparken 9, 2750 Denmark",55.719146,12.357151,2016-06-20,,2016,2025,2016,POINT (12.357151 55.71914599999999),2017,16162623.3,5471685.054,41.69,193840.07964
410,225-1,Maaløv Apotek,7,Stationsvej 7,2760,01.04.2000,,1084,151,1084,"Stationsvej 7, 2760 Denmark",55.748557,12.318699,2000-01-04,,2000,2025,2008,POINT (12.318699 55.748557),2017,16162623.3,5471685.054,41.69,193840.07964
529,360,Skovlunde Apotek,6,Torvestrædet 2,2740,"01Jan1966 0:00:00,000",,1084,151,1084,"Torvestrædet 2, 2740 Denmark",55.8697314,12.3554134,1966-01-01,,1966,2025,2008,POINT (12.3554134 55.8697314),2017,16162623.3,5471685.054,41.69,193840.07964
88,355-1,Brøndby Strand Apote,7,Brøndby Strand Centrum 16,2660,27.08.2016,,1084,153,1084,"Brøndby Strand Centrum 16, 2660 Denmark",55.621545,12.42262,2016-08-27,,2016,2025,2016,POINT (12.42262 55.621545),2017,19698724.8,6636028.73,40.85,168410.63761
90,354-1,Brøndbyvester Apotek,7,Søndre Ringvej 41F,2605,"01Dec2015 0:00:00,000",,1084,153,1084,"Søndre Ringvej 41F, 2605 Denmark",55.655021,12.395359,2015-12-01,,2015,2025,2015,POINT (12.395359 55.655021),2017,19698724.8,6636028.73,40.85,168410.63761
91,354,Brøndbyøster Apotek,6,Nygårds Plads 29A,2605,"01Jan1957 0:00:00,000",,1084,153,1084,"Nygårds Plads 29A, 2605 Denmark",55.667523,12.437595,1957-01-01,,1957,2025,2008,POINT (12.437595 55.667523),2017,19698724.8,6636028.73,40.85,168410.63761
106,350-1,Dragør Apotek,7,Maglebytorv 18,2791,"01Sep2006 0:00:00,000",,1084,155,1084,"Maglebytorv 18, 2791 Denmark",55.59519,12.660578,2006-09-01,,2006,2025,2008,POINT (12.660578 55.59519),2017,,,43.65,243078.62577
99,159,Charlottenlund Apotek,6,"Lindegårdsvej 51, st",2920,01-01-1894 00:00,,1084,157,1084,"Lindegårdsvej 51, st, 2920 Denmark",55.75463,12.569751,1894-01-01,,1894,2025,2008,POINT (12.569751 55.75463000000001),2017,20974606.11,7068987.882,41.34,338550.68199
160,215,Gentofte Apotek,13,Gentoftegade 35,2820,"01Jan1904 0:00:00,000",,1084,157,1084,"Gentoftegade 35, 2820 Denmark",55.747369,12.541228,1904-01-01,,1904,2025,2008,POINT (12.541228 55.74736899999999),2017,20974606.11,7068987.882,41.34,338550.68199
209,182,Hellerup Apotek,13,Strandvejen 165,2900,"01Jan1900 0:00:00,000",,1084,157,1084,"Strandvejen 165, 2900 Denmark",55.732495,12.575353,1900-01-01,,1900,2025,2008,POINT (12.575353 55.73249499999999),2017,20974606.11,7068987.882,41.34,338550.68199
459,325,Ordrup Apotek,6,Ordrupvej 80,2920,"01Jan1930 0:00:00,000",,1084,157,1084,"Ordrupvej 80, 2920 Denmark",55.761535,12.574219,1930-01-01,,1930,2025,2008,POINT (12.574219 55.76153499999999),2017,20974606.11,7068987.882,41.34,338550.68199
677,202-1,Waterfront Apotek Hel,7,Philip Heymans Alle 17,2900,"01Mar2017 0:00:00,000",,1084,157,1084,"Philip Heymans Alle 17, 2900 Denmark",55.725991,12.580248,2017-03-01,,2017,2025,2017,POINT (12.580248 55.725991),2017,20974606.11,7068987.882,41.34,338550.68199
57,353,Bagsværd Apotek,6,Bagsværd Torv 6,2880,"01Jan1956 0:00:00,000",,1084,159,1084,"Bagsværd Torv 6, 2880 Denmark",55.76157,12.452301,1956-01-01,,1956,2025,2008,POINT (12.452301 55.76156999999999),2017,34508527.2,11608880.19,39.19,211639.50951
96,358,Buddinge Apotek,13,Søborg Hovedgade 201,2860,"01Jan1961 0:00:00,000",,1084,159,1084,"Søborg Hovedgade 201, 2860 Denmark",55.741866,12.497438,1961-01-01,,1961,2025,2008,POINT (12.497438 55.741866),2017,34508527.2,11608880.19,39.19,211639.50951
581,312,Søborg Apotek,6,Søborg Hovedgade 86,2860,"01Jan1925 0:00:00,000",,1084,159,1084,"Søborg Hovedgade 86, 2860 Denmark",55.734786,12.513729,1925-01-01,,1925,2025,2008,POINT (12.513729 55.734786),2017,34508527.2,11608880.19,39.19,211639.50951
23,109-1,Apoteket Glostrup Sho,7,Glostrup Shoppingcenter 48,2600,"26Aug2016 0:00:00,000",,1084,161,1084,"Glostrup Shoppingcenter 48, 2600 Denmark",55.665487,12.400572,2016-08-26,,2016,2025,2016,POINT (12.400572 55.665487),2017,,,40.71,199769.3696
167,109,Glostrup Apotek,6,Hovedvejen 101,2600,01-01-1863 00:00,,1084,161,1084,"Hovedvejen 101, 2600 Denmark",55.665658,12.396538,1863-01-01,,1863,2025,2008,POINT (12.396538 55.66565799999999),2017,,,40.71,199769.3696
216,351,Herlev Apotek,6,Herlev Torv 13,2730,"01Jan1951 0:00:00,000",,1084,163,1084,"Herlev Torv 13, 2730 Denmark",55.724141,12.438964,1951-01-01,,1951,2025,2008,POINT (12.438964 55.724141),2017,,,40.57,191410.36343
0,359,Albertslund Apotek,6,Bytorvet 5,2620,"01Jan1966 0:00:00,000",,1084,165,1084,"Bytorvet 5, 2620 Denmark",55.656514,12.353695,1966-01-01,,1966,2025,2008,POINT (12.353695 55.656514),2017,,,39.24,169270.72059
21,355-3,Apoteket Frihedens Bu,7,Strandmarksvej 20,2650,"01Jul2017 0:00:00,000",01-OCT-2018,1084,167,1084,"Strandmarksvej 20, 2650 Denmark",55.626891,12.484661,2017-07-01,2018-10-01,2017,2018,2017,POINT (12.484661 55.626891),2017,15605813.22,5329836.93,39.45,193571.0745
80,348-1,Bredalsparken Apotek,7,Hvidovrevej 322,2650,"03Feb2017 0:00:00,000",,1084,167,1084,"Hvidovrevej 322, 2650 Denmark",55.639075,12.478968,2017-02-03,,2017,2025,2017,POINT (12.478968 55.639075),2017,15605813.22,5329836.93,39.45,193571.0745
155,355,Friheden Apotek,6,Strandmarksvej 20,2650,"01Jan1958 0:00:00,000",,1084,167,1084,"Strandmarksvej 20, 2650 Denmark",55.626891,12.484661,1958-01-01,,1958,2025,2008,POINT (12.484661 55.626891),2017,15605813.22,5329836.93,39.45,193571.0745
261,348,Hvidovre Apotek,6,Hvidovrevej 178,2650,"01Jan1950 0:00:00,000",,1084,167,1084,"Hvidovrevej 178, 2650 Denmark",55.65347,12.474295,1950-01-01,,1950,2025,2008,POINT (12.474295 55.65347),2017,15605813.22,5329836.93,39.45,193571.0745
263,355-2,Hvidovre Stationsapot,7,"Laurits Olsensvej 1, stuen, dør",2650,"15Nov2016 0:00:00,000",,1084,167,1084,"Laurits Olsensvej 1, stuen, dør 30, 2650 Denma",55.666195,12.5170154,2016-11-15,,2016,2025,2016,POINT (12.5170154 55.66619499999999,2017,15605813.22,5329836.93,39.45,193571.0745
102,017-3,City 2 Apoteket,7,"Cityringen 4, 218",2630,"31Mar2016 0:00:00,000",,1084,169,1084,"Cityringen 4, 218, 2630 Denmark",55.6517,12.2922,2016-03-31,,2016,2025,2016,POINT (12.2922 55.6517),2017,12261455.25,4200925.94,39.49,189052.25608
207,252-1,Hedehusene Apotek,7,Hovedgaden 421,2640,01.01.1992,,1084,169,1084,"Hovedgaden 421, 2640 Denmark",55.649489,12.200141,1992-01-01,,1992,2025,2008,POINT (12.200141 55.649489),2017,12261455.25,4200925.94,39.49,189052.25608
266,252-2,Høje Taastrup Apotek,7,Høje Taastrup Boulevard 44,2630,"31Oct2016 0:00:00,000",,1084,169,1084,"Høje Taastrup Boulevard 44, 2630 Denmark",55.648246,12.26953,2016-10-31,,2016,2025,2016,POINT (12.26953 55.64824599999999),2017,12261455.25,4200925.94,39.49,189052.25608
617,252,Taastrup Apotek,6,Taastrup Hovedgade 60,2630,"01Jan1908 0:00:00,000",,1084,169,1084,"Taastrup Hovedgade 60, 2630 Denmark",55.65025,12.301525,1908-01-01,,1908,2025,2008,POINT (12.301525 55.65025),2017,12261455.25,4200925.94,39.49,189052.25608
618,252-3,Taastrup Apotek - Cit,7,"City 2, 141 plan 1",2630,"11Jan2016 0:00:00,000",10-DEC-2019,1084,169,1084,"City 2, 141 plan 1, 2630 Denmark",55.6517,12.2922,2016-01-11,2019-12-10,2016,2019,2016,POINT (12.2922 55.6517),2017,12261455.25,4200925.94,39.49,189052.25608
619,017-2,Taastrup Torv Apotek,7,Taastrup Torv 8,2630,"17Nov2015 0:00:00,000",,1084,169,1084,"Taastrup Torv 8, 2630 Denmark",55.651931,12.30245,2015-11-17,,2015,2025,2015,POINT (12.30245 55.651931),2017,12261455.25,4200925.94,39.49,189052.25608
374,342,Lyngby Løve Apotek,6,Jernbanepladsen 43,2800,11.04.2016,,1084,173,1084,"Jernbanepladsen 43, 2800 Denmark",55.768562,12.503108,2016-11-04,,2016,2025,2016,POINT (12.503108 55.768562),2017,14993214.24,5080930.398,41.01,260553.07647
375,342-1,Lyngby Storcenter Apo,7,"Lyngby Storcenter nr. 1, st., dø",2800,"11Apr2016 0:00:00,000",,1084,173,1084,"Lyngby Storcenter nr. 1, st., dør 1, 2800 Denm",55.7704,12.5038,2016-04-11,,2016,2025,2016,POINT (12.5038 55.7704),2017,14993214.24,5080930.398,41.01,260553.07647
376,059,Lyngby Svane Apotek,6,Lyngby Hovedgade 27,2800,01-01-1806 00:00,,1084,173,1084,"Lyngby Hovedgade 27, 2800 Denmark",55.771531,12.502527,1806-01-01,,1806,2025,2008,POINT (12.502527 55.771531),2017,14993214.24,5080930.398,41.01,260553.07647
548,059-1,Sorgenfri Apotek,7,Sorgenfri Torv 19,2830,"06Nov2017 0:00:00,000",,1084,173,1084,"Sorgenfri Torv 19, 2830 Denmark",55.780847,12.482037,2017-11-06,,2017,2025,2017,POINT (12.482037 55.78084699999999),2017,14993214.24,5080930.398,41.01,260553.07647
666,349,Virum Apotek,13,Frederiksdalsvej 73,2830,"01Jan1950 0:00:00,000",,1084,173,1084,"Frederiksdalsvej 73, 2830 Denmark",55.795311,12.473014,1950-01-01,,1950,2025,2008,POINT (12.473014 55.795311),2017,14993214.24,5080930.398,41.01,260553.07647
284,360-1,Islev Apotek,7,Fortvej 5,2610,"03Aug2015 0:00:00,000",01-MAR-2018,1084,175,1084,"Fortvej 5, 2610 Denmark",55.695916,12.458643,2015-08-03,2018-03-01,2015,2018,2015,POINT (12.458643 55.695916),2017,19826166.75,6819143.73,40.39,193342.80834
497,339,Rødovre Apotek,6,"Rødovre Centrum 1C, st. 124",2610,"01Jan1937 0:00:00,000",,1084,175,1084,"Rødovre Centrum 1C, st. 124, 2610 Denmark",55.6806,12.4537,1937-01-01,,1937,2025,2008,POINT (12.4537 55.6806),2017,19826166.75,6819143.73,40.39,193342.80834
498,354-2,Rødovre Krone Apotek,7,"Rødovre Centrum 1R, st. 6",2610,"29Aug2016 0:00:00,000",,1084,175,1084,"Rødovre Centrum 1R, st. 6, 2610 Denmark",55.6806,12.4537,2016-08-29,,2016,2025,2016,POINT (12.4537 55.6806),2017,19826166.75,6819143.73,40.39,193342.80834
281,365-1,Ishøj Apotek,7,"Ishøj Nørregade 12, Ishøj Byce",2635,01.01.1991,,1084,183,1084,"Ishøj Nørregade 12, Ishøj Bycenter, 2635 Den",55.6154,12.3518,1991-01-01,,1991,2025,2008,POINT (12.3518 55.6154),2017,,,38.25,169047.73364
300,350,Kastrup Apotek,6,Skottegården 2,2770,"01Jan1950 0:00:00,000",,1084,185,1084,"Skottegården 2, 2770 Denmark",55.6377,12.635151,1950-01-01,,1950,2025,2008,POINT (12.635151 55.6377),2017,21757892.3,7450270.27,40.91,201714.01135
368,341-3,Lufthavns Apotek Køb,7,Lufthavnsboulevarden 6 T2-ST-386,2770,"01Nov2015 0:00:00,000",01-NOV-2019,1084,185,1084,"Lufthavnsboulevarden 6 T2-ST-386, 2770 Denmark",55.6352,12.6489,2015-11-01,2019-11-01,2015,2019,2015,POINT (12.6489 55.6352),2017,21757892.3,7450270.27,40.91,201714.01135
614,323,Tårnby Apotek,6,Kamillevej 4,2770,"01Jan1929 0:00:00,000",,1084,185,1084,"Kamillevej 4, 2770 Denmark",55.632714,12.622263,1929-01-01,,1929,2025,2008,POINT (12.622263 55.632714),2017,21757892.3,7450270.27,40.91,201714.01135
631,359-1,Vallensbæk Apotek,7,Vallensbæk Stationstorv 60,2665,01.01.1992,01-APR-2020,1084,187,1084,"Vallensbæk Stationstorv 60, 2665 Denmark",55.62323,12.388825,1992-01-01,2020-04-01,1992,2020,2008,POINT (12.388825 55.62323000000001),2017,,,39.18,208369.05206
130,278,Farum Apotek,6,Farum Bytorv 69,3520,01-01-1885 00:00,,1084,190,1084,"Farum Bytorv 69, 3520 Denmark",55.814654,12.381689,1885-01-01,,1885,2025,2008,POINT (12.381689 55.814654),2017,,,41.66,247221.80675
676,362,Værløse Apotek,6,Bymidten 13,3500,"01Jan1967 0:00:00,000",,1084,190,1084,"Bymidten 13, 3500 Denmark",55.784539,12.373718,1967-01-01,,1967,2025,2008,POINT (12.373718 55.784539),2017,,,41.66,247221.80675
2,346-1,Allerød Apotek,7,Allerød Stationsvej 9,3450,07.03.2008,,1084,201,1084,"Allerød Stationsvej 9, 3450 Denmark",55.871124,12.355782,2008-07-03,,2008,2025,2008,POINT (12.355782 55.871124),2017,,,41.64,249752.39431
377,278-1,Lynge Apotek,7,Lynge Bytorv 5,3540,"04Dec2017 0:00:00,000",,1084,201,1084,"Lynge Bytorv 5, 3540 Denmark",55.838075,12.277802,2017-12-04,,2017,2025,2017,POINT (12.277802 55.838075),2017,,,41.64,249752.39431
18,079-2,Apoteket Egevangen,7,Egevangen 8,2980,"01Sep2015 0:00:00,000",,1084,210,1084,"Egevangen 8, 2980 Denmark",55.906141,12.474946,2015-09-01,,2015,2025,2015,POINT (12.474946 55.90614100000001),2017,16076274.413,5438173.5225,42.76,220069.72905
140,154-2,Fredensborg Apotek,7,Jernbanegade 3,3480,01.01.1992,,1084,210,1084,"Jernbanegade 3, 3480 Denmark",55.979023,12.398907,1992-01-01,,1992,2025,2008,POINT (12.398907 55.979023),2017,16076274.413,5438173.5225,42.76,220069.72905
253,154,Humlebæk Apotek,6,Humlebæk Center 23,3050,01-01-1893 00:00,,1084,210,1084,"Humlebæk Center 23, 3050 Denmark",55.964006,12.529982,1893-01-01,,1893,2025,2008,POINT (12.529982 55.964006),2017,16076274.413,5438173.5225,42.76,220069.72905
421,079-1,Nivå Apotek,7,Nivå Center 75,2990,01.01.1992,,1084,210,1084,"Nivå Center 75, 2990 Denmark",55.93464,12.504554,1992-01-01,,1992,2025,2008,POINT (12.504554 55.93464),2017,16076274.413,5438173.5225,42.76,220069.72905
