VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,samlet_ind
330,232,København Apoteket T,6,Ndr. Frihavnsgade 3,2100,"01Jan1909 0:00:00,000",,1084,101,1084,"Ndr. Frihavnsgade 3, 2100 Denmark",55.700024,12.578069,1909-01-01,,1909,2025,2008,POINT (12.578069 55.700024),2016,22394272.52,7812124.31,35.36,214564.90901
332,029,København Christians,6,Torvegade 47,1400,01-01-1753 00:00,,1084,101,1084,"Torvegade 47, 1400 Denmark",55.672344,12.591926,1753-01-01,,1753,2025,2008,POINT (12.591926 55.672344),2016,22394272.52,7812124.31,35.36,214564.90901
335,309,København Enghave Ap,13,Enghave Plads 25,1670,"01Jan1922 0:00:00,000",,1084,101,1084,"Enghave Plads 25, 1670 Denmark",55.666133,12.544116,1922-01-01,,1922,2025,2008,POINT (12.544116 55.66613299999999),2016,22394272.52,7812124.31,35.36,214564.90901
336,334,København Grøndalsa,13,Godthåbsvej 187A,2720,"01Jan1935 0:00:00,000",,1084,101,1084,"Godthåbsvej 187A, 2720 Denmark",55.6908748,12.5159263,1935-01-01,,1935,2025,2008,POINT (12.5159263 55.6908748),2016,22394272.52,7812124.31,35.36,214564.90901
338,341-2,København Hamlets Ap,7,Hamletsgade 2,2200,"01Jun2009 0:00:00,000",,1084,101,1084,"Hamletsgade 2, 2200 Denmark",55.703088,12.547708,2009-06-01,,2009,2025,2009,POINT (12.547708 55.703088),2016,22394272.52,7812124.31,35.36,214564.90901
340,322,København Husum Apot,6,Frederikssundsvej 320,2700,"01Jan1929 0:00:00,000",,1084,101,1084,"Frederikssundsvej 320, 2700 Denmark",55.711998,12.47255,1929-01-01,,1929,2025,2008,POINT (12.47255 55.711998),2016,22394272.52,7812124.31,35.36,214564.90901
341,029-1,København Islands Br,7,Islands Brygge 3-5,2300,"01Feb2003 0:00:00,000",,1084,101,1084,"Islands Brygge 3-5, 2300 Denmark",55.6672418,12.5773125,2003-02-01,,2003,2025,2008,POINT (12.5773125 55.66724179999999,2016,22394272.52,7812124.31,35.36,214564.90901
342,021,København Kongelig H,6,Store Kongensgade 45,1264,01-01-1753 00:00,,1084,101,1084,"Store Kongensgade 45, 1264 Denmark",55.683269,12.586637,1753-01-01,,1753,2025,2008,POINT (12.586637 55.683269),2016,22394272.52,7812124.31,35.36,214564.90901
343,338,København Linde Apot,6,Frederikssundsvej 152,2700,"01Jan1937 0:00:00,000",,1084,101,1084,"Frederikssundsvej 152, 2700 Denmark",55.704659,12.500087,1937-01-01,,1937,2025,2008,POINT (12.500087 55.704659),2016,22394272.52,7812124.31,35.36,214564.90901
344,090,København Nørrebro,6,Nørrebrogade 8,2200,01-01-1843 00:00,,1084,101,1084,"Nørrebrogade 8, 2200 Denmark",55.687462,12.56233,1843-01-01,,1843,2025,2008,POINT (12.56233 55.687462),2016,22394272.52,7812124.31,35.36,214564.90901
346,134,København Sct. Stefa,13,Nørrebrogade 140,2200,01-01-1881 00:00,,1084,101,1084,"Nørrebrogade 140, 2200 Denmark",55.694695,12.548836,1881-01-01,,1881,2025,2008,POINT (12.548836 55.694695),2016,22394272.52,7812124.31,35.36,214564.90901
347,183,København Steno Apot,6,Vesterbrogade 6 C,1620,"01Jan1900 0:00:00,000",,1084,101,1084,"Vesterbrogade 6 C, 1620 Denmark",55.6726625,12.5501706,1900-01-01,,1900,2025,2008,POINT (12.5501706 55.6726625),2016,22394272.52,7812124.31,35.36,214564.90901
348,332,København Sydhavnsap,13,Borgbjergsvej 15,2450,"01Jan1933 0:00:00,000",,1084,101,1084,"Borgbjergsvej 15, 2450 Denmark",55.651462,12.537598,1933-01-01,,1933,2025,2008,POINT (12.537598 55.651462),2016,22394272.52,7812124.31,35.36,214564.90901
349,199,København Sønderbro,6,Amagerbrogade 158,2300,"01Jan1902 0:00:00,000",,1084,101,1084,"Amagerbrogade 158, 2300 Denmark",55.654731,12.610199,1902-01-01,,1902,2025,2008,POINT (12.610199 55.65473100000001),2016,22394272.52,7812124.31,35.36,214564.90901
350,318,København Trekroner,6,Vigerslev Allé 38,2500,"01Jan1925 0:00:00,000",,1084,101,1084,"Vigerslev Allé 38, 2500 Denmark",55.661884,12.518641,1925-01-01,,1925,2025,2008,POINT (12.518641 55.66188399999999),2016,22394272.52,7812124.31,35.36,214564.90901
351,031,København Vaisenhus,13,Landemærket 3-5,1119,01-01-1753 00:00,,1084,101,1084,"Landemærket 3-5, 1119 Denmark",55.6827864,12.5776629,1753-01-01,,1753,2025,2008,POINT (12.5776629 55.6827864),2016,22394272.52,7812124.31,35.36,214564.90901
352,197,København Valby Apot,6,Valby Langgade 49,2500,"01Jan1902 0:00:00,000",,1084,101,1084,"Valby Langgade 49, 2500 Denmark",55.666526,12.516945,1902-01-01,,1902,2025,2008,POINT (12.516945 55.666526),2016,22394272.52,7812124.31,35.36,214564.90901
353,202,København Øresunds,6,Østerbrogade 151,2100,"01Jan1902 0:00:00,000",,1084,101,1084,"Østerbrogade 151, 2100 Denmark",55.714092,12.577286,1902-01-01,,1902,2025,2008,POINT (12.577286 55.714092),2016,22394272.52,7812124.31,35.36,214564.90901
354,320,København Østerbro,13,Østerbrogade 101,2100,"01Jan1929 0:00:00,000",,1084,101,1084,"Østerbrogade 101, 2100 Denmark",55.709432,12.577196,1929-01-01,,1929,2025,2008,POINT (12.577196 55.70943199999999),2016,22394272.52,7812124.31,35.36,214564.90901
635,343,Vanløse Løve Apotek,6,"Vanløse Torv 1, st. 123",2720,"01Jan1937 0:00:00,000",,1084,101,1084,"Vanløse Torv 1, st. 123, 2720 Denmark",55.708988,12.583695,1937-01-01,,1937,2025,2008,POINT (12.583695 55.708988),2016,22394272.52,7812124.31,35.36,214564.90901
29,327-1,Apoteket Lille Bjørn,7,"Nordens Plads 4A, stuen",2000,"04Jan2016 0:00:00,000",,1084,147,1084,"Nordens Plads 4A, stuen, 2000 Denmark",55.671326,12.500626,2016-01-04,,2016,2025,2016,POINT (12.500626 55.671326),2016,24336806.35,8387872.56,38.93,237146.47652
143,111,Frederiksberg Apotek,6,Gammel Kongevej 162,1850,01-01-1867 00:00,,1084,147,1084,"Gammel Kongevej 162, 1850 Denmark",55.6759585,12.5433837,1867-01-01,,1867,2025,2008,POINT (12.5433837 55.67595849999999,2016,24336806.35,8387872.56,38.93,237146.47652
145,184,Frederiksberg Apoteke,6,Godthåbsvej 4,2000,"12Nov1901 0:00:00,000",,1084,147,1084,"Godthåbsvej 4, 2000 Denmark",55.685538,12.538161,1901-11-12,,1901,2025,2008,POINT (12.538161 55.685538),2016,24336806.35,8387872.56,38.93,237146.47652
146,327,Frederiksberg Dalgas,6,Dalgas Boulevard 91,2000,01.03.1994,,1084,147,1084,"Dalgas Boulevard 91, 2000 Denmark",55.681633,12.510563,1994-01-03,,1994,2025,2008,POINT (12.510563 55.681633),2016,24336806.35,8387872.56,38.93,237146.47652
148,262,Frederiksberg Gl. Kon,13,Gammel Kongevej 76,1850,"01Jan1916 0:00:00,000",,1084,147,1084,"Gammel Kongevej 76, 1850 Denmark",55.674336,12.551359,1916-01-01,,1916,2025,2008,POINT (12.551359 55.674336),2016,24336806.35,8387872.56,38.93,237146.47652
150,185,Frederiksberg Smalleg,6,Smallegade 46,2000,"01Jan1900 0:00:00,000",,1084,147,1084,"Smallegade 46, 2000 Denmark",55.679679,12.523739,1900-01-01,,1900,2025,2008,POINT (12.523739 55.67967900000001),2016,24336806.35,8387872.56,38.93,237146.47652
26,225-2,Apoteket i Ballerup C,7,"Ballerup-Centret 2, 1. 3",2750,"26Oct2015 0:00:00,000",,1084,151,1084,"Ballerup-Centret 2, 1. 3, 2750 Denmark",55.7316,12.3633,2015-10-26,,2015,2025,2015,POINT (12.3633 55.7316),2016,15885686.19,5538184.812,41.53,190084.89208
58,225,Ballerup Apotek,6,Centrumgaden 24-26,2750,"01Jan1907 0:00:00,000",,1084,151,1084,"Centrumgaden 24-26, 2750 Denmark",55.7281229,12.3598013,1907-01-01,,1907,2025,2008,POINT (12.3598013 55.7281229),2016,15885686.19,5538184.812,41.53,190084.89208
205,225-3,Hedegårdens Apotek,7,Hedeparken 9,2750,"20Jun2016 0:00:00,000",,1084,151,1084,"Hedeparken 9, 2750 Denmark",55.719146,12.357151,2016-06-20,,2016,2025,2016,POINT (12.357151 55.71914599999999),2016,15885686.19,5538184.812,41.53,190084.89208
410,225-1,Maaløv Apotek,7,Stationsvej 7,2760,01.04.2000,,1084,151,1084,"Stationsvej 7, 2760 Denmark",55.748557,12.318699,2000-01-04,,2000,2025,2008,POINT (12.318699 55.748557),2016,15885686.19,5538184.812,41.53,190084.89208
529,360,Skovlunde Apotek,6,Torvestrædet 2,2740,"01Jan1966 0:00:00,000",,1084,151,1084,"Torvestrædet 2, 2740 Denmark",55.8697314,12.3554134,1966-01-01,,1966,2025,2008,POINT (12.3554134 55.8697314),2016,15885686.19,5538184.812,41.53,190084.89208
88,355-1,Brøndby Strand Apote,7,Brøndby Strand Centrum 16,2660,27.08.2016,,1084,153,1084,"Brøndby Strand Centrum 16, 2660 Denmark",55.621545,12.42262,2016-08-27,,2016,2025,2016,POINT (12.42262 55.621545),2016,19914653.15,6907243.1,40.81,164729.91182
90,354-1,Brøndbyvester Apotek,7,Søndre Ringvej 41F,2605,"01Dec2015 0:00:00,000",,1084,153,1084,"Søndre Ringvej 41F, 2605 Denmark",55.655021,12.395359,2015-12-01,,2015,2025,2015,POINT (12.395359 55.655021),2016,19914653.15,6907243.1,40.81,164729.91182
91,354,Brøndbyøster Apotek,6,Nygårds Plads 29A,2605,"01Jan1957 0:00:00,000",,1084,153,1084,"Nygårds Plads 29A, 2605 Denmark",55.667523,12.437595,1957-01-01,,1957,2025,2008,POINT (12.437595 55.667523),2016,19914653.15,6907243.1,40.81,164729.91182
106,350-1,Dragør Apotek,7,Maglebytorv 18,2791,"01Sep2006 0:00:00,000",,1084,155,1084,"Maglebytorv 18, 2791 Denmark",55.59519,12.660578,2006-09-01,,2006,2025,2008,POINT (12.660578 55.59519),2016,,,43.44,234373.70121
99,159,Charlottenlund Apotek,6,"Lindegårdsvej 51, st",2920,01-01-1894 00:00,,1084,157,1084,"Lindegårdsvej 51, st, 2920 Denmark",55.75463,12.569751,1894-01-01,,1894,2025,2008,POINT (12.569751 55.75463000000001),2016,26407517.7,9123852.5475,41.14,330054.7998
160,215,Gentofte Apotek,13,Gentoftegade 35,2820,"01Jan1904 0:00:00,000",,1084,157,1084,"Gentoftegade 35, 2820 Denmark",55.747369,12.541228,1904-01-01,,1904,2025,2008,POINT (12.541228 55.74736899999999),2016,26407517.7,9123852.5475,41.14,330054.7998
209,182,Hellerup Apotek,13,Strandvejen 165,2900,"01Jan1900 0:00:00,000",,1084,157,1084,"Strandvejen 165, 2900 Denmark",55.732495,12.575353,1900-01-01,,1900,2025,2008,POINT (12.575353 55.73249499999999),2016,26407517.7,9123852.5475,41.14,330054.7998
459,325,Ordrup Apotek,6,Ordrupvej 80,2920,"01Jan1930 0:00:00,000",,1084,157,1084,"Ordrupvej 80, 2920 Denmark",55.761535,12.574219,1930-01-01,,1930,2025,2008,POINT (12.574219 55.76153499999999),2016,26407517.7,9123852.5475,41.14,330054.7998
57,353,Bagsværd Apotek,6,Bagsværd Torv 6,2880,"01Jan1956 0:00:00,000",,1084,159,1084,"Bagsværd Torv 6, 2880 Denmark",55.76157,12.452301,1956-01-01,,1956,2025,2008,POINT (12.452301 55.76156999999999),2016,34343099.35,11836802.77,39.20,206375.44799
96,358,Buddinge Apotek,13,Søborg Hovedgade 201,2860,"01Jan1961 0:00:00,000",,1084,159,1084,"Søborg Hovedgade 201, 2860 Denmark",55.741866,12.497438,1961-01-01,,1961,2025,2008,POINT (12.497438 55.741866),2016,34343099.35,11836802.77,39.20,206375.44799
581,312,Søborg Apotek,6,Søborg Hovedgade 86,2860,"01Jan1925 0:00:00,000",,1084,159,1084,"Søborg Hovedgade 86, 2860 Denmark",55.734786,12.513729,1925-01-01,,1925,2025,2008,POINT (12.513729 55.734786),2016,34343099.35,11836802.77,39.20,206375.44799
23,109-1,Apoteket Glostrup Sho,7,Glostrup Shoppingcenter 48,2600,"26Aug2016 0:00:00,000",,1084,161,1084,"Glostrup Shoppingcenter 48, 2600 Denmark",55.665487,12.400572,2016-08-26,,2016,2025,2016,POINT (12.400572 55.665487),2016,,,40.67,194877.94025
167,109,Glostrup Apotek,6,Hovedvejen 101,2600,01-01-1863 00:00,,1084,161,1084,"Hovedvejen 101, 2600 Denmark",55.665658,12.396538,1863-01-01,,1863,2025,2008,POINT (12.396538 55.66565799999999),2016,,,40.67,194877.94025
216,351,Herlev Apotek,6,Herlev Torv 13,2730,"01Jan1951 0:00:00,000",,1084,163,1084,"Herlev Torv 13, 2730 Denmark",55.724141,12.438964,1951-01-01,,1951,2025,2008,POINT (12.438964 55.724141),2016,,,40.56,188718.44699
0,359,Albertslund Apotek,6,Bytorvet 5,2620,"01Jan1966 0:00:00,000",,1084,165,1084,"Bytorvet 5, 2620 Denmark",55.656514,12.353695,1966-01-01,,1966,2025,2008,POINT (12.353695 55.656514),2016,,,38.99,166108.63889
20,017-4,Apoteket Frihedens Bu,7,Strandmarksvej 20,2650,"09Jun2016 0:00:00,000",01-JUL-2017,1084,167,1084,"Strandmarksvej 20, 2650 Denmark",55.626891,12.484661,2016-06-09,2017-07-01,2016,2017,2016,POINT (12.484661 55.626891),2016,19489347.75,6851413.2225,39.48,189002.9872
155,355,Friheden Apotek,6,Strandmarksvej 20,2650,"01Jan1958 0:00:00,000",,1084,167,1084,"Strandmarksvej 20, 2650 Denmark",55.626891,12.484661,1958-01-01,,1958,2025,2008,POINT (12.484661 55.626891),2016,19489347.75,6851413.2225,39.48,189002.9872
261,348,Hvidovre Apotek,6,Hvidovrevej 178,2650,"01Jan1950 0:00:00,000",,1084,167,1084,"Hvidovrevej 178, 2650 Denmark",55.65347,12.474295,1950-01-01,,1950,2025,2008,POINT (12.474295 55.65347),2016,19489347.75,6851413.2225,39.48,189002.9872
263,355-2,Hvidovre Stationsapot,7,"Laurits Olsensvej 1, stuen, dør",2650,"15Nov2016 0:00:00,000",,1084,167,1084,"Laurits Olsensvej 1, stuen, dør 30, 2650 Denma",55.666195,12.5170154,2016-11-15,,2016,2025,2016,POINT (12.5170154 55.66619499999999,2016,19489347.75,6851413.2225,39.48,189002.9872
102,017-3,City 2 Apoteket,7,"Cityringen 4, 218",2630,"31Mar2016 0:00:00,000",,1084,169,1084,"Cityringen 4, 218, 2630 Denmark",55.6517,12.2922,2016-03-31,,2016,2025,2016,POINT (12.2922 55.6517),2016,12553788.8,4432635.71,39.34,183101.35045
207,252-1,Hedehusene Apotek,7,Hovedgaden 421,2640,01.01.1992,,1084,169,1084,"Hovedgaden 421, 2640 Denmark",55.649489,12.200141,1992-01-01,,1992,2025,2008,POINT (12.200141 55.649489),2016,12553788.8,4432635.71,39.34,183101.35045
266,252-2,Høje Taastrup Apotek,7,Høje Taastrup Boulevard 44,2630,"31Oct2016 0:00:00,000",,1084,169,1084,"Høje Taastrup Boulevard 44, 2630 Denmark",55.648246,12.26953,2016-10-31,,2016,2025,2016,POINT (12.26953 55.64824599999999),2016,12553788.8,4432635.71,39.34,183101.35045
617,252,Taastrup Apotek,6,Taastrup Hovedgade 60,2630,"01Jan1908 0:00:00,000",,1084,169,1084,"Taastrup Hovedgade 60, 2630 Denmark",55.65025,12.301525,1908-01-01,,1908,2025,2008,POINT (12.301525 55.65025),2016,12553788.8,4432635.71,39.34,183101.35045
618,252-3,Taastrup Apotek - Cit,7,"City 2, 141 plan 1",2630,"11Jan2016 0:00:00,000",10-DEC-2019,1084,169,1084,"City 2, 141 plan 1, 2630 Denmark",55.6517,12.2922,2016-01-11,2019-12-10,2016,2019,2016,POINT (12.2922 55.6517),2016,12553788.8,4432635.71,39.34,183101.35045
619,017-2,Taastrup Torv Apotek,7,Taastrup Torv 8,2630,"17Nov2015 0:00:00,000",,1084,169,1084,"Taastrup Torv 8, 2630 Denmark",55.651931,12.30245,2015-11-17,,2015,2025,2015,POINT (12.30245 55.651931),2016,12553788.8,4432635.71,39.34,183101.35045
374,342,Lyngby Løve Apotek,6,Jernbanepladsen 43,2800,11.04.2016,,1084,173,1084,"Jernbanepladsen 43, 2800 Denmark",55.768562,12.503108,2016-11-04,,2016,2025,2016,POINT (12.503108 55.768562),2016,19504368.488,6725934.9,41.01,255034.40367
375,342-1,Lyngby Storcenter Apo,7,"Lyngby Storcenter nr. 1, st., dø",2800,"11Apr2016 0:00:00,000",,1084,173,1084,"Lyngby Storcenter nr. 1, st., dør 1, 2800 Denm",55.7704,12.5038,2016-04-11,,2016,2025,2016,POINT (12.5038 55.7704),2016,19504368.488,6725934.9,41.01,255034.40367
376,059,Lyngby Svane Apotek,6,Lyngby Hovedgade 27,2800,01-01-1806 00:00,,1084,173,1084,"Lyngby Hovedgade 27, 2800 Denmark",55.771531,12.502527,1806-01-01,,1806,2025,2008,POINT (12.502527 55.771531),2016,19504368.488,6725934.9,41.01,255034.40367
666,349,Virum Apotek,13,Frederiksdalsvej 73,2830,"01Jan1950 0:00:00,000",,1084,173,1084,"Frederiksdalsvej 73, 2830 Denmark",55.795311,12.473014,1950-01-01,,1950,2025,2008,POINT (12.473014 55.795311),2016,19504368.488,6725934.9,41.01,255034.40367
284,360-1,Islev Apotek,7,Fortvej 5,2610,"03Aug2015 0:00:00,000",01-MAR-2018,1084,175,1084,"Fortvej 5, 2610 Denmark",55.695916,12.458643,2015-08-03,2018-03-01,2015,2018,2015,POINT (12.458643 55.695916),2016,19346038.4,6850458.08,40.50,188470.19429
497,339,Rødovre Apotek,6,"Rødovre Centrum 1C, st. 124",2610,"01Jan1937 0:00:00,000",,1084,175,1084,"Rødovre Centrum 1C, st. 124, 2610 Denmark",55.6806,12.4537,1937-01-01,,1937,2025,2008,POINT (12.4537 55.6806),2016,19346038.4,6850458.08,40.50,188470.19429
498,354-2,Rødovre Krone Apotek,7,"Rødovre Centrum 1R, st. 6",2610,"29Aug2016 0:00:00,000",,1084,175,1084,"Rødovre Centrum 1R, st. 6, 2610 Denmark",55.6806,12.4537,2016-08-29,,2016,2025,2016,POINT (12.4537 55.6806),2016,19346038.4,6850458.08,40.50,188470.19429
281,365-1,Ishøj Apotek,7,"Ishøj Nørregade 12, Ishøj Byce",2635,01.01.1991,,1084,183,1084,"Ishøj Nørregade 12, Ishøj Bycenter, 2635 Den",55.6154,12.3518,1991-01-01,,1991,2025,2008,POINT (12.3518 55.6154),2016,,,38.05,164768.39234
300,350,Kastrup Apotek,6,Skottegården 2,2770,"01Jan1950 0:00:00,000",,1084,185,1084,"Skottegården 2, 2770 Denmark",55.6377,12.635151,1950-01-01,,1950,2025,2008,POINT (12.635151 55.6377),2016,23064292.2,8047009.62,40.84,196500.12906
368,341-3,Lufthavns Apotek Køb,7,Lufthavnsboulevarden 6 T2-ST-386,2770,"01Nov2015 0:00:00,000",01-NOV-2019,1084,185,1084,"Lufthavnsboulevarden 6 T2-ST-386, 2770 Denmark",55.6352,12.6489,2015-11-01,2019-11-01,2015,2019,2015,POINT (12.6489 55.6352),2016,23064292.2,8047009.62,40.84,196500.12906
614,323,Tårnby Apotek,6,Kamillevej 4,2770,"01Jan1929 0:00:00,000",,1084,185,1084,"Kamillevej 4, 2770 Denmark",55.632714,12.622263,1929-01-01,,1929,2025,2008,POINT (12.622263 55.632714),2016,23064292.2,8047009.62,40.84,196500.12906
631,359-1,Vallensbæk Apotek,7,Vallensbæk Stationstorv 60,2665,01.01.1992,01-APR-2020,1084,187,1084,"Vallensbæk Stationstorv 60, 2665 Denmark",55.62323,12.388825,1992-01-01,2020-04-01,1992,2020,2008,POINT (12.388825 55.62323000000001),2016,,,39.36,206702.68964
130,278,Farum Apotek,6,Farum Bytorv 69,3520,01-01-1885 00:00,,1084,190,1084,"Farum Bytorv 69, 3520 Denmark",55.814654,12.381689,1885-01-01,,1885,2025,2008,POINT (12.381689 55.814654),2016,,,41.51,241886.87618
676,362,Værløse Apotek,6,Bymidten 13,3500,"01Jan1967 0:00:00,000",,1084,190,1084,"Bymidten 13, 3500 Denmark",55.784539,12.373718,1967-01-01,,1967,2025,2008,POINT (12.373718 55.784539),2016,,,41.51,241886.87618
2,346-1,Allerød Apotek,7,Allerød Stationsvej 9,3450,07.03.2008,,1084,201,1084,"Allerød Stationsvej 9, 3450 Denmark",55.871124,12.355782,2008-07-03,,2008,2025,2008,POINT (12.355782 55.871124),2016,,,41.51,245263.33042
18,079-2,Apoteket Egevangen,7,Egevangen 8,2980,"01Sep2015 0:00:00,000",,1084,210,1084,"Egevangen 8, 2980 Denmark",55.906141,12.474946,2015-09-01,,2015,2025,2015,POINT (12.474946 55.90614100000001),2016,16268914.5,5705725.89,42.58,219414.30737
140,154-2,Fredensborg Apotek,7,Jernbanegade 3,3480,01.01.1992,,1084,210,1084,"Jernbanegade 3, 3480 Denmark",55.979023,12.398907,1992-01-01,,1992,2025,2008,POINT (12.398907 55.979023),2016,16268914.5,5705725.89,42.58,219414.30737
253,154,Humlebæk Apotek,6,Humlebæk Center 23,3050,01-01-1893 00:00,,1084,210,1084,"Humlebæk Center 23, 3050 Denmark",55.964006,12.529982,1893-01-01,,1893,2025,2008,POINT (12.529982 55.964006),2016,16268914.5,5705725.89,42.58,219414.30737
421,079-1,Nivå Apotek,7,Nivå Center 75,2990,01.01.1992,,1084,210,1084,"Nivå Center 75, 2990 Denmark",55.93464,12.504554,1992-01-01,,1992,2025,2008,POINT (12.504554 55.93464),2016,16268914.5,5705725.89,42.58,219414.30737
124,154-1,Espergærde Apotek,7,Nørremarken 3,3060,01.01.1992,,1084,217,1084,"Nørremarken 3, 3060 Denmark",55.996762,12.5432234,1992-01-01,,1992,2025,2008,POINT (12.5432234 55.996762),2016,18319881.225,6354792.29,43.42,197427.87186
212,364,Helsingør Axeltorvs,6,Groskenstræde 2 A,3000,"01Jan1968 0:00:00,000",,1084,217,1084,"Groskenstræde 2 A, 3000 Denmark",56.0367464,12.6107202,1968-01-01,,1968,2025,2008,POINT (12.6107202 56.03674640000001,2016,18319881.225,6354792.29,43.42,197427.87186
213,238,Helsingør Stengades,6,Stengade 46,3000,"01Jan1912 0:00:00,000",,1084,217,1084,"Stengade 46, 3000 Denmark",56.03519,12.6142515,1912-01-01,,1912,2025,2008,POINT (12.6142515 56.03519),2016,18319881.225,6354792.29,43.42,197427.87186
242,113-1,Hornbæk Apotek,7,Sauntevej 2,3100,01.01.1992,,1084,217,1084,"Sauntevej 2, 3100 Denmark",56.0806998,12.4792214,1992-01-01,,1992,2025,2008,POINT (12.4792214 56.0806998),2016,18319881.225,6354792.29,43.42,197427.87186
468,238-1,Prøvestens Apotek,7,Birkedalsvej 7-9,3000,"01Sep2015 0:00:00,000",,1084,217,1084,"Birkedalsvej 7-9, 3000 Denmark",56.0208076,12.5691907,2015-09-01,,2015,2025,2015,POINT (12.5691907 56.0208076),2016,18319881.225,6354792.29,43.42,197427.87186
711,364-1,Ålsgårde Apotek,7,Ålsgårdecentret,3140,"01Jul2015 0:00:00,000",,1084,217,1084,"Ålsgårdecentret, 3140 Denmark",56.075299,12.5401626,2015-07-01,,2015,2025,2015,POINT (12.5401626 56.075299),2016,18319881.225,6354792.29,43.42,197427.87186
221,044,Hillerød Frederiksbo,6,Slotsgade 26,3400,01-01-1792 00:00,,1084,219,1084,"Slotsgade 26, 3400 Denmark",55.930404,12.299802,1792-01-01,,1792,2025,2008,POINT (12.299802 55.930404),2016,22677922.45,7872355.3,40.53,216789.7286
222,367,Hillerød Krone Apote,6,Helsingørsgade 10,3400,"01Jan1998 0:00:00,000",,1084,219,1084,"Helsingørsgade 10, 3400 Denmark",55.9303626,12.3050612,1998-01-01,,1998,2025,2008,POINT (12.3050612 55.9303626),2016,22677922.45,7872355.3,40.53,216789.7286
624,367-1,Ullerød Apotek,7,Frederiksværksgade 115,3400,"31Oct2016 0:00:00,000",,1084,219,1084,"Frederiksværksgade 115, 3400 Denmark",55.9359546,12.2922046,2016-10-31,,2016,2025,2016,POINT (12.2922046 55.9359546),2016,22677922.45,7872355.3,40.53,216789.7286
