VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,markedsvaerdix,yderkom
348,243,København Amagerbro,6,Reberbanegade 3,2300,"01Jan1913 0:00:00,000",,1084,101,1084,"Reberbanegade 3, 2300 Denmark",55.662829,12.603788,1913-01-01,,1913,2025,2008,POINT (12.603788 55.662829),2010,37037942.12,12257371.801,35.67,0.1035026004,0.1748353233,195272.5708,0.5270848509,0.7045168799,0.7843211793,539542,1564751.1095,0
349,341,København Apoteket R,6,Tuborgvej 269,2400,"01Jan1935 0:00:00,000",,1084,101,1084,"Tuborgvej 269, 2400 Denmark",55.71175,12.53244,1935-01-01,,1935,2025,2008,POINT (12.53244 55.71175),2010,37037942.12,12257371.801,35.67,0.1035026004,0.1748353233,195272.5708,0.5270848509,0.7045168799,0.7843211793,539542,1564751.1095,0
352,242,København Apoteket S,6,Nørrebrogade 224,2200,"01Jan1913 0:00:00,000",,1084,101,1084,"Nørrebrogade 224, 2200 Denmark",55.700139,12.540203,1913-01-01,,1913,2025,2008,POINT (12.540203 55.700139),2010,37037942.12,12257371.801,35.67,0.1035026004,0.1748353233,195272.5708,0.5270848509,0.7045168799,0.7843211793,539542,1564751.1095,0
353,232,København Apoteket T,6,Ndr. Frihavnsgade 3,2100,"01Jan1909 0:00:00,000",,1084,101,1084,"Ndr. Frihavnsgade 3, 2100 Denmark",55.700024,12.578069,1909-01-01,,1909,2025,2008,POINT (12.578069 55.700024),2010,37037942.12,12257371.801,35.67,0.1035026004,0.1748353233,195272.5708,0.5270848509,0.7045168799,0.7843211793,539542,1564751.1095,0
358,029,København Christians,6,Torvegade 47,1400,01-01-1753 00:00,,1084,101,1084,"Torvegade 47, 1400 Denmark",55.672344,12.591926,1753-01-01,,1753,2025,2008,POINT (12.591926 55.672344),2010,37037942.12,12257371.801,35.67,0.1035026004,0.1748353233,195272.5708,0.5270848509,0.7045168799,0.7843211793,539542,1564751.1095,0
361,309,København Enghave Ap,13,Enghave Plads 25,1670,"01Jan1922 0:00:00,000",,1084,101,1084,"Enghave Plads 25, 1670 Denmark",55.666133,12.544116,1922-01-01,,1922,2025,2008,POINT (12.544116 55.666133),2010,37037942.12,12257371.801,35.67,0.1035026004,0.1748353233,195272.5708,0.5270848509,0.7045168799,0.7843211793,539542,1564751.1095,0
367,334,København Grøndalsa,13,Godthåbsvej 187A,2720,"01Jan1935 0:00:00,000",,1084,101,1084,"Godthåbsvej 187A, 2720 Denmark",55.6908748,12.5159263,1935-01-01,,1935,2025,2008,POINT (12.5159263 55.6908748),2010,37037942.12,12257371.801,35.67,0.1035026004,0.1748353233,195272.5708,0.5270848509,0.7045168799,0.7843211793,539542,1564751.1095,0
371,341-2,København Hamlets Ap,7,Hamletsgade 2,2200,"01Jun2009 0:00:00,000",,1084,101,1084,"Hamletsgade 2, 2200 Denmark",55.703088,12.547708,2009-06-01,,2009,2025,2009,POINT (12.547708 55.703088),2010,37037942.12,12257371.801,35.67,0.1035026004,0.1748353233,195272.5708,0.5270848509,0.7045168799,0.7843211793,539542,1564751.1095,0
374,322,København Husum Apot,6,Frederikssundsvej 320,2700,"01Jan1929 0:00:00,000",,1084,101,1084,"Frederikssundsvej 320, 2700 Denmark",55.711998,12.47255,1929-01-01,,1929,2025,2008,POINT (12.47255 55.711998),2010,37037942.12,12257371.801,35.67,0.1035026004,0.1748353233,195272.5708,0.5270848509,0.7045168799,0.7843211793,539542,1564751.1095,0
375,029-1,København Islands Br,7,Islands Brygge 3-5,2300,"01Feb2003 0:00:00,000",,1084,101,1084,"Islands Brygge 3-5, 2300 Denmark",55.6695424,12.5797902,2003-02-01,,2003,2025,2008,POINT (12.5797902 55.6695424),2010,37037942.12,12257371.801,35.67,0.1035026004,0.1748353233,195272.5708,0.5270848509,0.7045168799,0.7843211793,539542,1564751.1095,0
